"ChineseDramaName"	"KoreaDramaName"	"TV"	"EP"	"Date"	"Rate"
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	1	2016-08-29	7.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	2	2016-08-29	8.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	3	2016-08-30	7.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	4	2016-09-05	6.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	5	2016-09-06	6.2%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	6	2016-09-12	5.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	7	2016-09-13	5.2%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	8	2016-09-19	5.3%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	9	2016-09-20	6.1%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	10	2016-09-26	6.4%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	11	2016-09-27	6.5%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	12	2016-10-03	6.8%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	13	2016-10-04	7.3%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	14	2016-10-10	6.5%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	15	2016-10-11	8.7%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	-	2016-10-17	▌▌．轉播棒球
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	16	2016-10-18	5.8%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	17	2016-10-24	9.9%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	18	2016-10-25	10.7%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	19	2016-10-31	9.0%
月之戀人－步步驚心：麗	달의 연인 - 보보경심 려	SBS	20	2016-11-01	10.8%
浪漫醫生金師傅	낭만닥터 김사부	SBS	1	2016-11-07	9.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	2	2016-11-08	8.7%
浪漫醫生金師傅	낭만닥터 김사부	SBS	3	2016-11-14	12.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	4	2016-11-15	13.1%
浪漫醫生金師傅	낭만닥터 김사부	SBS	5	2016-11-21	15.2%
浪漫醫生金師傅	낭만닥터 김사부	SBS	6	2016-11-22	17.4%
浪漫醫生金師傅	낭만닥터 김사부	SBS	7	2016-11-28	16.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	8	2016-11-29	19.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	9	2016-12-05	18.8%
浪漫醫生金師傅	낭만닥터 김사부	SBS	10	2016-12-06	20.9%
浪漫醫生金師傅	낭만닥터 김사부	SBS	11	2016-12-12	20.0%
浪漫醫生金師傅	낭만닥터 김사부	SBS	12	2016-12-13	21.6%
浪漫醫生金師傅	낭만닥터 김사부	SBS	13	2016-12-19	19.7%
浪漫醫生金師傅	낭만닥터 김사부	SBS	14	2016-12-20	21.6%
浪漫醫生金師傅	낭만닥터 김사부	SBS	-	2016-12-26	▌▌
浪漫醫生金師傅	낭만닥터 김사부	SBS	15	2016-12-27	20.6%
浪漫醫生金師傅	낭만닥터 김사부	SBS	16	2017-01-02	19.5%
浪漫醫生金師傅	낭만닥터 김사부	SBS	17	2017-01-03	21.9%
浪漫醫生金師傅	낭만닥터 김사부	SBS	18	2017-01-09	23.4%
浪漫醫生金師傅	낭만닥터 김사부	SBS	19	2017-01-10	22.2%
浪漫醫生金師傅	낭만닥터 김사부	SBS	20	2017-01-16	24.7%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	1	2016-09-26	6.9%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	2	2016-09-27	7.2%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	3	2016-10-03	7.0%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	4	2016-10-04	7.6%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	5	2016-10-10	7.1%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	6	2016-10-11	8.0%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	7	2016-10-17	7.1%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	8	2016-10-18	7.0%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	9	2016-10-24	6.7%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	-	2016-10-25	▌▌
拖旅行箱的女人	캐리어를 끄는 여자	MBC	10	2016-10-31	6.4%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	11	2016-11-01	6.4%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	12	2016-11-07	7.4%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	13	2016-11-08	8.0%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	14	2016-11-14	7.4%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	15	2016-11-15	8.2%
拖旅行箱的女人	캐리어를 끄는 여자	MBC	16	2016-11-15	7.4%
不夜城	불야성	MBC	1	2016-11-21	5.7%
不夜城	불야성	MBC	2	2016-11-22	7.2%
不夜城	불야성	MBC	3	2016-11-28	6.1%
不夜城	불야성	MBC	4	2016-11-29	6.1%
不夜城	불야성	MBC	5	2016-12-05	5.3%
不夜城	불야성	MBC	6	2016-12-06	6.4%
不夜城	불야성	MBC	7	2016-12-12	4.2%
不夜城	불야성	MBC	8	2016-12-13	4.6%
不夜城	불야성	MBC	9	2016-12-19	4.1%
不夜城	불야성	MBC	10	2016-12-20	4.1%
不夜城	불야성	MBC	11	2016-12-26	4.5%
不夜城	불야성	MBC	12	2016-12-27	4.1%
不夜城	불야성	MBC	13	2017-01-02	3.7%
不夜城	불야성	MBC	14	2017-01-03	4.3%
不夜城	불야성	MBC	15	2017-01-09	3.5%
不夜城	불야성	MBC	16	2017-01-10	3.5%
不夜城	불야성	MBC	17	2017-01-16	3.2%
不夜城	불야성	MBC	18	2017-01-17	3.7%
不夜城	불야성	MBC	19	2017-01-23	4.1%
不夜城	불야성	MBC	20	2017-01-24	4.4%
雲畫的月光	구르미 그린 달빛	KBS2	1	2016-08-22	8.7%
雲畫的月光	구르미 그린 달빛	KBS2	2	2016-08-23	9.3%
雲畫的月光	구르미 그린 달빛	KBS2	3	2016-08-29	15.5%
雲畫的月光	구르미 그린 달빛	KBS2	4	2016-08-30	17.1%
雲畫的月光	구르미 그린 달빛	KBS2	5	2016-09-05	16.9%
雲畫的月光	구르미 그린 달빛	KBS2	6	2016-09-06	17.9%
雲畫的月光	구르미 그린 달빛	KBS2	7	2016-09-12	18.4%
雲畫的月光	구르미 그린 달빛	KBS2	8	2016-09-13	16.7%
雲畫的月光	구르미 그린 달빛	KBS2	9	2016-09-19	17.9%
雲畫的月光	구르미 그린 달빛	KBS2	10	2016-09-20	16.2%
雲畫的月光	구르미 그린 달빛	KBS2	11	2016-09-26	18.6%
雲畫的月光	구르미 그린 달빛	KBS2	12	2016-09-27	18.6%
雲畫的月光	구르미 그린 달빛	KBS2	13	2016-10-03	16.4%
雲畫的月光	구르미 그린 달빛	KBS2	14	2016-10-04	17.5%
雲畫的月光	구르미 그린 달빛	KBS2	15	2016-10-10	16.9%
雲畫的月光	구르미 그린 달빛	KBS2	16	2016-10-11	17.8%
雲畫的月光	구르미 그린 달빛	KBS2	17	2016-10-17	22.5%
雲畫的月光	구르미 그린 달빛	KBS2	18	2016-10-18	21.6%
住在我家的男人	우리집에 사는 남자	KBS2	1	2016-10-24	8.2%
住在我家的男人	우리집에 사는 남자	KBS2	2	2016-10-25	9.9%
住在我家的男人	우리집에 사는 남자	KBS2	3	2016-10-31	6.6%
住在我家的男人	우리집에 사는 남자	KBS2	4	2016-11-01	7.0%
住在我家的男人	우리집에 사는 남자	KBS2	5	2016-11-07	5.9%
住在我家的男人	우리집에 사는 남자	KBS2	6	2016-11-08	4.6%
住在我家的男人	우리집에 사는 남자	KBS2	7	2016-11-14	4.2%
住在我家的男人	우리집에 사는 남자	KBS2	8	2016-11-15	4.6%
住在我家的男人	우리집에 사는 남자	KBS2	9	2016-11-21	5.1%
住在我家的男人	우리집에 사는 남자	KBS2	10	2016-11-22	4.4%
住在我家的男人	우리집에 사는 남자	KBS2	11	2016-11-28	3.4%
住在我家的男人	우리집에 사는 남자	KBS2	12	2016-11-29	3.2%
住在我家的男人	우리집에 사는 남자	KBS2	13	2016-12-05	3.5%
住在我家的男人	우리집에 사는 남자	KBS2	14	2016-12-06	3.3%
住在我家的男人	우리집에 사는 남자	KBS2	15	2016-12-12	2.9%
住在我家的男人	우리집에 사는 남자	KBS2	16	2016-12-13	3.2%
花郎	화랑	KBS2	1	2016-12-19	7.9%
花郎	화랑	KBS2	2	2016-12-20	6.9%
花郎	화랑	KBS2	3	2016-12-26	11.1%
花郎	화랑	KBS2	4	2016-12-27	7.4%
花郎	화랑	KBS2	5	2017-01-02	7.4%
花郎	화랑	KBS2	6	2017-01-03	7.6%
花郎	화랑	KBS2	7	2017-01-09	7.2%
花郎	화랑	KBS2	8	2017-01-10	7.2%
花郎	화랑	KBS2	9	2017-01-16	6.2%
花郎	화랑	KBS2	10	2017-01-17	7.1%
花郎	화랑	KBS2	11	2017-01-23	9.3%
花郎	화랑	KBS2	12	2017-01-24	8.7%
花郎	화랑	KBS2	13	2017-01-30	6.9%
花郎	화랑	KBS2	14	2017-01-31	7.0%
花郎	화랑	KBS2	15	2017-02-06	6.8%
花郎	화랑	KBS2	16	2017-02-07	6.4%
花郎	화랑	KBS2	17	2017-02-13	6.2%
花郎	화랑	KBS2	18	2017-02-14	6.4%
花郎	화랑	KBS2	19	2017-02-20	6.0%
花郎	화랑	KBS2	20	2017-02-21	6.2%
嫉妒的化身	질투의 화신	SBS	1	2016-08-24	6.8%
嫉妒的化身	질투의 화신	SBS	2	2016-08-25	7.9%
嫉妒的化身	질투의 화신	SBS	3	2016-08-31	8.0%
嫉妒的化身	질투의 화신	SBS	4	2016-09-01	8.6%
嫉妒的化身	질투의 화신	SBS	5	2016-09-07	8.2%
嫉妒的化身	질투의 화신	SBS	6	2016-09-08	8.2%
嫉妒的化身	질투의 화신	SBS	7	2016-09-14	7.3%
嫉妒的化身	질투의 화신	SBS	8	2016-09-15	10.3%
嫉妒的化身	질투의 화신	SBS	9	2016-09-21	10.1%
嫉妒的化身	질투의 화신	SBS	10	2016-09-22	10.2%
嫉妒的化身	질투의 화신	SBS	11	2016-09-28	10.2%
嫉妒的化身	질투의 화신	SBS	12	2016-09-29	11.4%
嫉妒的化身	질투의 화신	SBS	13	2016-10-05	9.5%
嫉妒的化身	질투의 화신	SBS	14	2016-10-06	11.8%
嫉妒的化身	질투의 화신	SBS	15	2016-10-12	10.2%
嫉妒的化身	질투의 화신	SBS	16	2016-10-13	11.2%
嫉妒的化身	질투의 화신	SBS	17	2016-10-19	9.8%
嫉妒的化身	질투의 화신	SBS	18	2016-10-20	10.4%
嫉妒的化身	질투의 화신	SBS	19	2016-10-26	8.8%
嫉妒的化身	질투의 화신	SBS	20	2016-10-27	10.0%
嫉妒的化身	질투의 화신	SBS	21	2016-11-02	9.1%
嫉妒的化身	질투의 화신	SBS	22	2016-11-03	10.0%
嫉妒的化身	질투의 화신	SBS	23	2016-11-09	8.0%
嫉妒的化身	질투의 화신	SBS	24	2016-11-10	9.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	1	2016-11-16	15.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	2	2016-11-17	16.2%
藍色海洋的傳說	푸른 바다의 전설	SBS	3	2016-11-23	16.6%
藍色海洋的傳說	푸른 바다의 전설	SBS	4	2016-11-24	17.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	5	2016-11-30	16.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	6	2016-12-01	18.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	7	2016-12-07	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	8	2016-12-08	17.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	9	2016-12-14	14.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	10	2016-12-15	16.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	11	2016-12-21	17.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	12	2016-12-22	16.3%
藍色海洋的傳說	푸른 바다의 전설	SBS	13	2016-12-28	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	14	2017-01-04	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	15	2017-01-05	15.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	16	2017-01-11	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	17	2017-01-12	18.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	18	2017-01-18	16.5%
藍色海洋的傳說	푸른 바다의 전설	SBS	19	2017-01-19	18.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	20	2017-01-25	16.2%
藍色海洋的傳說	푸른 바다의 전설	SBS	1	2016-11-16	15.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	2	2016-11-17	16.2%
藍色海洋的傳說	푸른 바다의 전설	SBS	3	2016-11-23	16.6%
藍色海洋的傳說	푸른 바다의 전설	SBS	4	2016-11-24	17.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	5	2016-11-30	16.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	6	2016-12-01	18.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	7	2016-12-07	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	8	2016-12-08	17.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	9	2016-12-14	14.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	10	2016-12-15	16.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	11	2016-12-21	17.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	12	2016-12-22	16.3%
藍色海洋的傳說	푸른 바다의 전설	SBS	13	2016-12-28	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	14	2017-01-04	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	15	2017-01-05	15.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	16	2017-01-11	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	17	2017-01-12	18.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	18	2017-01-18	16.5%
藍色海洋的傳說	푸른 바다의 전설	SBS	19	2017-01-19	18.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	20	2017-01-25	16.2%
藍色海洋的傳說	푸른 바다의 전설	SBS	1	2016-11-16	15.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	2	2016-11-17	16.2%
藍色海洋的傳說	푸른 바다의 전설	SBS	3	2016-11-23	16.6%
藍色海洋的傳說	푸른 바다의 전설	SBS	4	2016-11-24	17.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	5	2016-11-30	16.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	6	2016-12-01	18.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	7	2016-12-07	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	8	2016-12-08	17.4%
藍色海洋的傳說	푸른 바다의 전설	SBS	9	2016-12-14	14.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	10	2016-12-15	16.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	11	2016-12-21	17.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	12	2016-12-22	16.3%
藍色海洋的傳說	푸른 바다의 전설	SBS	13	2016-12-28	15.8%
藍色海洋的傳說	푸른 바다의 전설	SBS	14	2017-01-04	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	15	2017-01-05	15.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	16	2017-01-11	15.1%
藍色海洋的傳說	푸른 바다의 전설	SBS	17	2017-01-12	18.9%
藍色海洋的傳說	푸른 바다의 전설	SBS	18	2017-01-18	16.5%
藍色海洋的傳說	푸른 바다의 전설	SBS	19	2017-01-19	18.7%
藍色海洋的傳說	푸른 바다의 전설	SBS	20	2017-01-25	16.2%
購物王路易	쇼핑왕 루이	MBC	1	2016-09-21	5.4%
購物王路易	쇼핑왕 루이	MBC	2	2016-09-22	6.3%
購物王路易	쇼핑왕 루이	MBC	3	2016-09-28	7.4%
購物王路易	쇼핑왕 루이	MBC	4	2016-09-29	8.5%
購物王路易	쇼핑왕 루이	MBC	-	2016-10-05	▌▌
購物王路易	쇼핑왕 루이	MBC	5	2016-10-06	8.2%
購物王路易	쇼핑왕 루이	MBC	6	2016-10-12	9.9%
購物王路易	쇼핑왕 루이	MBC	7	2016-10-13	10.1%
購物王路易	쇼핑왕 루이	MBC	8	2016-10-19	10.4%
購物王路易	쇼핑왕 루이	MBC	9	2016-10-20	11.5%
購物王路易	쇼핑왕 루이	MBC	10	2016-10-26	10.9%
購物王路易	쇼핑왕 루이	MBC	11	2016-10-27	11.1%
購物王路易	쇼핑왕 루이	MBC	12	2016-11-02	11.4%
購物王路易	쇼핑왕 루이	MBC	13	2016-11-03	11.4%
購物王路易	쇼핑왕 루이	MBC	14	2016-11-09	8.8%
購物王路易	쇼핑왕 루이	MBC	15	2016-11-10	10.9%
購物王路易	쇼핑왕 루이	MBC	16	2016-11-10	9.2%
舉重妖精金福珠	역도 요정 김복주	MBC	1	2016-11-16	4.1%
舉重妖精金福珠	역도 요정 김복주	MBC	2	2016-11-17	5.0%
舉重妖精金福珠	역도 요정 김복주	MBC	3	2016-11-23	4.8%
舉重妖精金福珠	역도 요정 김복주	MBC	4	2016-11-24	4.9%
舉重妖精金福珠	역도 요정 김복주	MBC	5	2016-11-30	4.8%
舉重妖精金福珠	역도 요정 김복주	MBC	6	2016-12-01	4.5%
舉重妖精金福珠	역도 요정 김복주	MBC	7	2016-12-07	4.4%
舉重妖精金福珠	역도 요정 김복주	MBC	8	2016-12-08	4.6%
舉重妖精金福珠	역도 요정 김복주	MBC	9	2016-12-14	4.2%
舉重妖精金福珠	역도 요정 김복주	MBC	10	2016-12-15	4.8%
舉重妖精金福珠	역도 요정 김복주	MBC	11	2016-12-21	4.7%
舉重妖精金福珠	역도 요정 김복주	MBC	12	2016-12-22	5.1%
舉重妖精金福珠	역도 요정 김복주	MBC	13	2016-12-28	5.5%
舉重妖精金福珠	역도 요정 김복주	MBC	-	2016-12-29	▌▌
舉重妖精金福珠	역도 요정 김복주	MBC	-	2016-12-30	▌▌
舉重妖精金福珠	역도 요정 김복주	MBC	14	2017-01-04	5.0%
舉重妖精金福珠	역도 요정 김복주	MBC	15	2017-01-05	5.5%
舉重妖精金福珠	역도 요정 김복주	MBC	16	2017-01-11	5.4%
通往機場的路	공항 가는 길	KBS2	1	2016-09-21	8.5%
通往機場的路	공항 가는 길	KBS2	2	2016-09-22	7.1%
通往機場的路	공항 가는 길	KBS2	3	2016-09-28	7.6%
通往機場的路	공항 가는 길	KBS2	4	2016-09-29	8.1%
通往機場的路	공항 가는 길	KBS2	5	2016-10-05	6.6%
通往機場的路	공항 가는 길	KBS2	6	2016-10-06	7.1%
通往機場的路	공항 가는 길	KBS2	7	2016-10-12	6.9%
通往機場的路	공항 가는 길	KBS2	8	2016-10-13	6.8%
通往機場的路	공항 가는 길	KBS2	9	2016-10-19	6.6%
通往機場的路	공항 가는 길	KBS2	10	2016-10-20	6.8%
通往機場的路	공항 가는 길	KBS2	11	2016-10-26	7.1%
通往機場的路	공항 가는 길	KBS2	12	2016-10-27	7.2%
通往機場的路	공항 가는 길	KBS2	13	2016-11-02	6.7%
通往機場的路	공항 가는 길	KBS2	14	2016-11-03	6.5%
通往機場的路	공항 가는 길	KBS2	15	2016-11-09	6.1%
通往機場的路	공항 가는 길	KBS2	16	2016-11-10	6.5%
Oh My 金雨	오 마이 금비	KBS2	1	2016-11-16	5.1%
Oh My 金雨	오 마이 금비	KBS2	2	2016-11-17	5.6%
Oh My 金雨	오 마이 금비	KBS2	3	2016-11-23	4.4%
Oh My 金雨	오 마이 금비	KBS2	4	2016-11-24	4.5%
Oh My 金雨	오 마이 금비	KBS2	5	2016-11-30	4.8%
Oh My 金雨	오 마이 금비	KBS2	6	2016-12-01	5.0%
Oh My 金雨	오 마이 금비	KBS2	7	2016-12-07	5.6%
Oh My 金雨	오 마이 금비	KBS2	8	2016-12-08	5.0%
Oh My 金雨	오 마이 금비	KBS2	9	2016-12-14	5.0%
Oh My 金雨	오 마이 금비	KBS2	10	2016-12-15	5.6%
Oh My 金雨	오 마이 금비	KBS2	11	2016-12-21	5.6%
Oh My 金雨	오 마이 금비	KBS2	12	2016-12-22	5.1%
Oh My 金雨	오 마이 금비	KBS2	13	2016-12-28	5.7%
Oh My 金雨	오 마이 금비	KBS2	-	2016-12-29	▌▌
Oh My 金雨	오 마이 금비	KBS2	14	2017-01-04	5.6%
Oh My 金雨	오 마이 금비	KBS2	15	2017-01-05	6.1%
Oh My 金雨	오 마이 금비	KBS2	16	2017-01-11	5.2%
我們甲順	우리 갑순이	SBS	1	2016-08-27	6.3%
我們甲順	우리 갑순이	SBS	2	2016-08-28	8.1%
我們甲順	우리 갑순이	SBS	3	2016-09-03	6.5%
我們甲順	우리 갑순이	SBS	4	2016-09-04	6.1%
我們甲順	우리 갑순이	SBS	5	2016-09-10	6.2%
我們甲順	우리 갑순이	SBS	6	2016-09-11	6.3%
我們甲順	우리 갑순이	SBS	7	2016-09-17	7.1%
我們甲順	우리 갑순이	SBS	8	2016-09-18	7.6%
我們甲順	우리 갑순이	SBS	9	2016-09-24	6.4%
我們甲順	우리 갑순이	SBS	10	2016-09-25	7.7%
我們甲順	우리 갑순이	SBS	11	2016-10-01	6.7%
我們甲順	우리 갑순이	SBS	12	2016-10-02	8.4%
我們甲順	우리 갑순이	SBS	13	2016-10-08	7.2%
我們甲順	우리 갑순이	SBS	14	2016-10-09	7.3%
我們甲順	우리 갑순이	SBS	15	2016-10-15	7.3%
我們甲順	우리 갑순이	SBS	16	2016-10-16	8.2%
我們甲順	우리 갑순이	SBS	17	2016-10-22	6.2%
我們甲順	우리 갑순이	SBS	18	2016-10-23	8.3%
我們甲順	우리 갑순이	SBS	19	2016-10-29	7.7%
我們甲順	우리 갑순이	SBS	20	2016-10-30	8.7%
我們甲順	우리 갑순이	SBS	21	2016-11-05	8.0%
我們甲順	우리 갑순이	SBS	22	2016-11-05	9.8%
我們甲順	우리 갑순이	SBS	23	2016-11-12	8.2%
我們甲順	우리 갑순이	SBS	24	2016-11-19	8.3%
我們甲順	우리 갑순이	SBS	25	2016-11-19	12.5%
我們甲順	우리 갑순이	SBS	26	2016-11-26	8.9%
我們甲順	우리 갑순이	SBS	27	2016-11-26	13.2%
我們甲順	우리 갑순이	SBS	28	2016-12-03	8.0%
我們甲順	우리 갑순이	SBS	29	2016-12-03	13.4%
我們甲順	우리 갑순이	SBS	30	2016-12-10	9.2%
我們甲順	우리 갑순이	SBS	31	2016-12-10	14.3%
我們甲順	우리 갑순이	SBS	32	2016-12-17	9.3%
我們甲順	우리 갑순이	SBS	33	2016-12-17	15.1%
我們甲順	우리 갑순이	SBS	34	2016-12-24	8.0%
我們甲順	우리 갑순이	SBS	35	2016-12-24	13.5%
我們甲順	우리 갑순이	SBS	-	2016-12-31	▌▌
我們甲順	우리 갑순이	SBS	36	2017-01-07	8.2%
我們甲順	우리 갑순이	SBS	37	2017-01-07	14.9%
我們甲順	우리 갑순이	SBS	38	2017-01-14	9.0%
我們甲順	우리 갑순이	SBS	39	2017-01-14	16.5%
我們甲順	우리 갑순이	SBS	40	2017-01-21	7.5%
我們甲順	우리 갑순이	SBS	41	2017-01-21	13.8%
我們甲順	우리 갑순이	SBS	-	2017-01-28	▌▌
我們甲順	우리 갑순이	SBS	42	2017-02-04	7.8%
我們甲順	우리 갑순이	SBS	43	2017-02-04	15.0%
我們甲順	우리 갑순이	SBS	44	2017-02-11	8.5%
我們甲順	우리 갑순이	SBS	45	2017-02-11	14.9%
我們甲順	우리 갑순이	SBS	46	2017-02-18	6.8%
我們甲順	우리 갑순이	SBS	47	2017-02-18	14.1%
我們甲順	우리 갑순이	SBS	48	2017-02-25	6.7%
我們甲順	우리 갑순이	SBS	1	2016-08-27	6.3%
我們甲順	우리 갑순이	SBS	2	2016-08-28	8.1%
我們甲順	우리 갑순이	SBS	3	2016-09-03	6.5%
我們甲順	우리 갑순이	SBS	4	2016-09-04	6.1%
我們甲順	우리 갑순이	SBS	5	2016-09-10	6.2%
我們甲順	우리 갑순이	SBS	6	2016-09-11	6.3%
我們甲順	우리 갑순이	SBS	7	2016-09-17	7.1%
我們甲順	우리 갑순이	SBS	8	2016-09-18	7.6%
我們甲順	우리 갑순이	SBS	9	2016-09-24	6.4%
我們甲順	우리 갑순이	SBS	10	2016-09-25	7.7%
我們甲順	우리 갑순이	SBS	11	2016-10-01	6.7%
我們甲順	우리 갑순이	SBS	12	2016-10-02	8.4%
我們甲順	우리 갑순이	SBS	13	2016-10-08	7.2%
我們甲順	우리 갑순이	SBS	14	2016-10-09	7.3%
我們甲順	우리 갑순이	SBS	15	2016-10-15	7.3%
我們甲順	우리 갑순이	SBS	16	2016-10-16	8.2%
我們甲順	우리 갑순이	SBS	17	2016-10-22	6.2%
我們甲順	우리 갑순이	SBS	18	2016-10-23	8.3%
我們甲順	우리 갑순이	SBS	19	2016-10-29	7.7%
我們甲順	우리 갑순이	SBS	20	2016-10-30	8.7%
我們甲順	우리 갑순이	SBS	21	2016-11-05	8.0%
我們甲順	우리 갑순이	SBS	22	2016-11-05	9.8%
我們甲順	우리 갑순이	SBS	23	2016-11-12	8.2%
我們甲順	우리 갑순이	SBS	24	2016-11-19	8.3%
我們甲順	우리 갑순이	SBS	25	2016-11-19	12.5%
我們甲順	우리 갑순이	SBS	26	2016-11-26	8.9%
我們甲順	우리 갑순이	SBS	27	2016-11-26	13.2%
我們甲順	우리 갑순이	SBS	28	2016-12-03	8.0%
我們甲順	우리 갑순이	SBS	29	2016-12-03	13.4%
我們甲順	우리 갑순이	SBS	30	2016-12-10	9.2%
我們甲順	우리 갑순이	SBS	31	2016-12-10	14.3%
我們甲順	우리 갑순이	SBS	32	2016-12-17	9.3%
我們甲順	우리 갑순이	SBS	33	2016-12-17	15.1%
我們甲順	우리 갑순이	SBS	34	2016-12-24	8.0%
我們甲順	우리 갑순이	SBS	35	2016-12-24	13.5%
我們甲順	우리 갑순이	SBS	-	2016-12-31	▌▌
我們甲順	우리 갑순이	SBS	36	2017-01-07	8.2%
我們甲順	우리 갑순이	SBS	37	2017-01-07	14.9%
我們甲順	우리 갑순이	SBS	38	2017-01-14	9.0%
我們甲順	우리 갑순이	SBS	39	2017-01-14	16.5%
我們甲順	우리 갑순이	SBS	40	2017-01-21	7.5%
我們甲順	우리 갑순이	SBS	41	2017-01-21	13.8%
我們甲順	우리 갑순이	SBS	-	2017-01-28	▌▌
我們甲順	우리 갑순이	SBS	42	2017-02-04	7.8%
我們甲順	우리 갑순이	SBS	43	2017-02-04	15.0%
我們甲順	우리 갑순이	SBS	44	2017-02-11	8.5%
我們甲順	우리 갑순이	SBS	45	2017-02-11	14.9%
我們甲順	우리 갑순이	SBS	46	2017-02-18	6.8%
我們甲順	우리 갑순이	SBS	47	2017-02-18	14.1%
我們甲順	우리 갑순이	SBS	48	2017-02-25	6.7%
我們甲順	우리 갑순이	SBS	1	2016-08-27	6.3%
我們甲順	우리 갑순이	SBS	2	2016-08-28	8.1%
我們甲順	우리 갑순이	SBS	3	2016-09-03	6.5%
